session_dir,session_name,date,records,status
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\14-14-47_auto_cron,14-14-47_auto_cron,2026-07-19,27,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\11-40-01_auto_cron,11-40-01_auto_cron,2026-07-19,27,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\08-14-12_auto_cron,08-14-12_auto_cron,2026-07-19,27,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\13-37-11_test_realtime_5m,13-37-11_test_realtime_5m,2026-07-19,27,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\06-51-34_auto_cron,06-51-34_auto_cron,2026-07-19,27,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-20\19-06-17_auto_cron,19-06-17_auto_cron,2026-07-20,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\18-36-37_auto_cron,18-36-37_auto_cron,2026-07-19,90,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\14-00-21_realtime_10nodes_q10,14-00-21_realtime_10nodes_q10,2026-07-19,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\21-09-24_auto_cron,21-09-24_auto_cron,2026-07-19,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-20\13-42-50_auto_cron,13-42-50_auto_cron,2026-07-20,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-21\13-25-46_auto_cron,13-25-46_auto_cron,2026-07-21,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\17-24-02_auto_cron,17-24-02_auto_cron,2026-07-19,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-20\09-34-37_auto_cron,09-34-37_auto_cron,2026-07-20,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-20\16-47-37_auto_cron,16-47-37_auto_cron,2026-07-20,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-20\21-31-21_auto_cron,21-31-21_auto_cron,2026-07-20,90,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-21\09-13-03_auto_cron,09-13-03_auto_cron,2026-07-21,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-21\16-09-23_auto_cron,16-09-23_auto_cron,2026-07-21,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-19\19-33-18_auto_cron,19-33-18_auto_cron,2026-07-19,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-20\06-54-04_auto_cron,06-54-04_auto_cron,2026-07-20,84,ok
C:\Users\hoang\Desktop\DACN github\DACN-Traffic-ETL\outputs\raw_measurements\2026-07-21\06-55-14_auto_cron,06-55-14_auto_cron,2026-07-21,84,ok
